instant,dteday,yr,mnth,weekday,is_holiday,is_weekend,workingday,season,weather_code,t1,t2,hum,wind_speed,cnt,n_hours_recorded
1,2015-01-04,2015,1,0,0.0,1.0,0,3.0,3.0,2.4791666666666665,0.6458333333333334,94.27083333333333,7.5,9234,24
2,2015-01-05,2015,1,1,0.0,0.0,1,3.0,3.0,8.041666666666666,6.708333333333333,80.3125,8.854166666666666,20372,24
3,2015-01-06,2015,1,2,0.0,0.0,1,3.0,1.0,7.854166666666667,5.333333333333333,78.89583333333333,16.0,20613,24
4,2015-01-07,2015,1,3,0.0,0.0,1,3.0,2.0,7.456521739130435,4.5,78.1086956521739,19.76086956521739,21064,23
5,2015-01-08,2015,1,4,0.0,0.0,1,3.0,7.0,9.75,7.791666666666667,79.3125,20.479166666666668,15601,24
6,2015-01-09,2015,1,5,0.0,0.0,1,3.0,3.0,12.729166666666666,12.333333333333334,74.85416666666667,32.916666666666664,22104,24
7,2015-01-10,2015,1,6,0.0,1.0,0,3.0,3.0,10.479166666666666,8.708333333333334,66.125,34.3125,14709,24
8,2015-01-11,2015,1,0,0.0,1.0,0,3.0,1.0,6.645833333333333,2.4583333333333335,67.58333333333333,26.5625,14575,24
9,2015-01-12,2015,1,1,0.0,0.0,1,3.0,7.0,11.125,9.75,76.58333333333333,28.1875,17199,24
10,2015-01-13,2015,1,2,0.0,0.0,1,3.0,7.0,8.604166666666666,6.083333333333333,75.8125,21.208333333333332,24697,24
11,2015-01-14,2015,1,3,0.0,0.0,1,3.0,2.0,6.5,2.4791666666666665,67.125,25.75,23565,24
12,2015-01-15,2015,1,4,0.0,0.0,1,3.0,2.0,8.833333333333334,5.625,66.45833333333333,31.166666666666668,22968,24
13,2015-01-16,2015,1,5,0.0,0.0,1,3.0,1.0,5.791666666666667,2.5416666666666665,66.22916666666667,17.458333333333332,22663,24
14,2015-01-17,2015,1,6,0.0,1.0,0,3.0,1.0,3.7916666666666665,0.5625,75.10416666666667,13.583333333333334,15268,24
15,2015-01-18,2015,1,0,0.0,1.0,0,3.0,7.0,3.3958333333333335,1.9166666666666667,84.33333333333333,6.979166666666667,13199,24
16,2015-01-19,2015,1,1,0.0,0.0,1,3.0,3.0,2.4166666666666665,0.7916666666666666,80.0,6.1875,23034,24
17,2015-01-20,2015,1,2,0.0,0.0,1,3.0,1.0,2.0625,-0.16666666666666666,81.95833333333333,9.166666666666666,23247,24
18,2015-01-21,2015,1,3,0.0,0.0,1,3.0,4.0,3.0416666666666665,-0.375,84.27083333333333,14.729166666666666,22782,24
19,2015-01-22,2015,1,4,0.0,0.0,1,3.0,3.0,2.5833333333333335,1.0416666666666667,74.47916666666667,6.729166666666667,23278,24
20,2015-01-23,2015,1,5,0.0,0.0,1,3.0,1.0,2.7083333333333335,-0.020833333333333332,79.41666666666667,12.416666666666666,21892,24
21,2015-01-24,2015,1,6,0.0,1.0,0,3.0,1.0,5.708333333333333,2.3333333333333335,72.72916666666667,18.0625,17539,24
22,2015-01-25,2015,1,0,0.0,1.0,0,3.0,3.0,5.520833333333333,2.3125,77.375,16.166666666666668,15094,24
23,2015-01-26,2015,1,1,0.0,0.0,1,3.0,3.0,8.5625,5.729166666666667,75.20833333333333,18.958333333333332,22710,24
24,2015-01-27,2015,1,2,0.0,0.0,1,3.0,1.0,6.958333333333333,4.145833333333333,72.375,15.291666666666666,25000,24
25,2015-01-28,2015,1,3,0.0,0.0,1,3.0,1.0,6.979166666666667,2.9166666666666665,71.02083333333333,29.145833333333332,21536,24
26,2015-01-29,2015,1,4,0.0,0.0,1,3.0,2.0,3.7708333333333335,-1.25,73.52083333333333,26.5625,21275,24
27,2015-01-30,2015,1,5,0.0,0.0,1,3.0,3.0,3.9791666666666665,0.1875,77.08333333333333,17.479166666666668,21171,24
28,2015-01-31,2015,1,6,0.0,1.0,0,3.0,7.0,3.4166666666666665,-0.9166666666666666,77.91666666666667,20.125,10250,24
29,2015-02-01,2015,2,0,0.0,1.0,0,3.0,3.0,3.7916666666666665,-0.8958333333333334,67.0,24.770833333333332,11305,24
30,2015-02-02,2015,2,1,0.0,0.0,1,3.0,1.0,1.25,-2.3958333333333335,64.85416666666667,12.625,21640,24
31,2015-02-03,2015,2,2,0.0,0.0,1,3.0,3.0,2.1666666666666665,-1.0416666666666667,85.5,11.833333333333334,19869,24
32,2015-02-04,2015,2,3,0.0,0.0,1,3.0,3.0,2.875,-0.5208333333333334,80.6875,14.125,21850,24
33,2015-02-05,2015,2,4,0.0,0.0,1,3.0,2.0,2.8958333333333335,-0.9166666666666666,78.10416666666667,16.020833333333332,21200,24
34,2015-02-06,2015,2,5,0.0,0.0,1,3.0,2.0,2.6875,-1.6666666666666667,69.85416666666667,19.270833333333332,20955,24
35,2015-02-07,2015,2,6,0.0,1.0,0,3.0,3.0,3.75,1.0208333333333333,83.02083333333333,11.3125,13149,24
36,2015-02-08,2015,2,0,0.0,1.0,0,3.0,2.0,5.4375,3.1458333333333335,76.20833333333333,10.25,15778,24
37,2015-02-09,2015,2,1,0.0,0.0,1,3.0,2.0,5.708333333333333,3.8541666666666665,81.4375,9.208333333333334,23858,24
38,2015-02-10,2015,2,2,0.0,0.0,1,3.0,4.0,5.5,4.369565217391305,79.6086956521739,6.478260869565218,23559,23
39,2015-02-11,2015,2,3,0.0,0.0,1,3.0,4.0,5.041666666666667,3.1666666666666665,77.4375,7.645833333333333,23680,24
40,2015-02-12,2015,2,4,0.0,0.0,1,3.0,4.0,3.9791666666666665,2.375,73.125,7.208333333333333,23227,24
41,2015-02-13,2015,2,5,0.0,0.0,1,3.0,7.0,6.979166666666667,4.020833333333333,84.54166666666667,17.8125,17699,24
42,2015-02-14,2015,2,6,0.0,1.0,0,3.0,3.0,7.3125,5.104166666666667,88.6875,12.375,14423,24
43,2015-02-15,2015,2,0,0.0,1.0,0,3.0,3.0,6.6875,5.333333333333333,86.16666666666667,7.333333333333333,16952,24
44,2015-02-16,2015,2,1,0.0,0.0,1,3.0,7.0,6.041666666666667,4.0625,89.70833333333333,9.75,16381,24
45,2015-02-17,2015,2,2,0.0,0.0,1,3.0,2.0,5.854166666666667,3.4791666666666665,68.70833333333333,12.1875,25064,24
46,2015-02-18,2015,2,3,0.0,0.0,1,3.0,1.0,6.395833333333333,3.7291666666666665,71.27083333333333,15.166666666666666,25132,24
47,2015-02-19,2015,2,4,0.0,0.0,1,3.0,7.0,7.270833333333333,3.8958333333333335,81.5,21.125,16898,24
48,2015-02-20,2015,2,5,0.0,0.0,1,3.0,2.0,6.645833333333333,4.8125,81.33333333333333,9.416666666666666,20715,24
49,2015-02-21,2015,2,6,0.0,1.0,0,3.0,2.0,4.8125,1.625,76.33333333333333,16.208333333333332,16198,24
50,2015-02-22,2015,2,0,0.0,1.0,0,3.0,1.0,5.125,1.4166666666666667,80.91666666666667,21.25,9086,24
51,2015-02-23,2015,2,1,0.0,0.0,1,3.0,2.0,6.9375,2.9375,66.85416666666667,25.875,21764,24
52,2015-02-24,2015,2,2,0.0,0.0,1,3.0,2.0,7.1875,3.1458333333333335,66.14583333333333,27.0,23688,24
53,2015-02-25,2015,2,3,0.0,0.0,1,3.0,2.0,9.083333333333334,7.666666666666667,77.3125,11.104166666666666,21592,24
54,2015-02-26,2015,2,4,0.0,0.0,1,3.0,7.0,9.25,7.4375,81.72916666666667,16.916666666666668,20036,24
55,2015-02-27,2015,2,5,0.0,0.0,1,3.0,1.0,5.9375,3.1041666666666665,66.27083333333333,14.3125,24367,24
56,2015-02-28,2015,2,6,0.0,1.0,0,3.0,3.0,8.6875,5.75,83.58333333333333,23.083333333333332,13529,24
57,2015-03-01,2015,3,0,0.0,1.0,0,0.0,2.0,9.1875,6.416666666666667,66.6875,29.583333333333332,15641,24
58,2015-03-02,2015,3,1,0.0,0.0,1,0.0,1.0,6.0625,1.7291666666666667,62.8125,28.3125,22258,24
59,2015-03-03,2015,3,2,0.0,0.0,1,0.0,2.0,6.583333333333333,2.8541666666666665,64.1875,23.041666666666668,23845,24
60,2015-03-04,2015,3,3,0.0,0.0,1,0.0,1.0,6.6875,3.2708333333333335,64.66666666666667,20.208333333333332,24485,24
61,2015-03-05,2015,3,4,0.0,0.0,1,0.0,1.0,7.5,5.208333333333333,65.27083333333333,16.6875,24896,24
62,2015-03-06,2015,3,5,0.0,0.0,1,0.0,1.0,9.104166666666666,7.1875,63.291666666666664,17.520833333333332,25337,24
63,2015-03-07,2015,3,6,0.0,1.0,0,0.0,1.0,11.041666666666666,9.645833333333334,64.3125,18.395833333333332,27365,24
64,2015-03-08,2015,3,0,0.0,1.0,0,0.0,2.0,10.041666666666666,9.041666666666666,78.85416666666667,14.229166666666666,20017,24
65,2015-03-09,2015,3,1,0.0,0.0,1,0.0,3.0,8.354166666666666,6.416666666666667,82.83333333333333,14.3125,24037,24
66,2015-03-10,2015,3,2,0.0,0.0,1,0.0,1.0,8.916666666666666,7.395833333333333,65.45833333333333,10.625,27674,24
67,2015-03-11,2015,3,3,0.0,0.0,1,0.0,1.0,8.75,7.604166666666667,73.72916666666667,11.229166666666666,27419,24
68,2015-03-12,2015,3,4,0.0,0.0,1,0.0,1.0,10.0,8.958333333333334,56.208333333333336,13.583333333333334,28131,24
69,2015-03-13,2015,3,5,0.0,0.0,1,0.0,1.0,8.5,6.625,61.270833333333336,17.770833333333332,25700,24
70,2015-03-14,2015,3,6,0.0,1.0,0,0.0,4.0,6.145833333333333,2.9583333333333335,66.97916666666667,17.958333333333332,18101,24
71,2015-03-15,2015,3,0,0.0,1.0,0,0.0,7.0,6.3125,3.3125,82.20833333333333,16.3125,10662,24
72,2015-03-16,2015,3,1,0.0,0.0,1,0.0,7.0,7.0,4.520833333333333,81.77083333333333,13.6875,19824,24
73,2015-03-17,2015,3,2,0.0,0.0,1,0.0,7.0,8.479166666666666,7.166666666666667,85.875,10.208333333333334,25780,24
74,2015-03-18,2015,3,3,0.0,0.0,1,0.0,3.0,6.895833333333333,4.583333333333333,80.0625,12.208333333333334,26439,24
75,2015-03-19,2015,3,4,0.0,0.0,1,0.0,4.0,7.25,4.541666666666667,79.14583333333333,15.083333333333334,24077,24
76,2015-03-20,2015,3,5,0.0,0.0,1,0.0,1.0,7.541666666666667,5.833333333333333,75.47916666666667,9.854166666666666,25226,24
77,2015-03-21,2015,3,6,0.0,1.0,0,0.0,3.0,7.625,4.895833333333333,72.04166666666667,16.479166666666668,16116,24
78,2015-03-22,2015,3,0,0.0,1.0,0,0.0,3.0,5.854166666666667,3.3333333333333335,67.72916666666667,12.395833333333334,18618,24
79,2015-03-23,2015,3,1,0.0,0.0,1,0.0,2.0,8.0,6.479166666666667,66.16666666666667,11.916666666666666,25592,24
80,2015-03-24,2015,3,2,0.0,0.0,1,0.0,7.0,7.541666666666667,5.916666666666667,69.8125,9.354166666666666,24083,24
81,2015-03-25,2015,3,3,0.0,0.0,1,0.0,1.0,6.208333333333333,4.645833333333333,67.08333333333333,7.9375,25672,24
82,2015-03-26,2015,3,4,0.0,0.0,1,0.0,1.0,8.416666666666666,6.1875,70.375,20.833333333333332,20305,24
83,2015-03-27,2015,3,5,0.0,0.0,1,0.0,1.0,8.833333333333334,6.916666666666667,60.5,15.729166666666666,26348,24
84,2015-03-28,2015,3,6,0.0,1.0,0,0.0,3.0,11.5625,11.145833333333334,80.125,22.895833333333332,18986,24
85,2015-03-29,2015,3,0,0.0,1.0,0,0.0,7.0,11.304347826086957,10.08695652173913,77.44565217391305,30.77173913043478,8592,23
86,2015-03-30,2015,3,1,0.0,0.0,1,0.0,2.0,9.625,7.395833333333333,64.5625,26.333333333333332,22106,24
87,2015-03-31,2015,3,2,0.0,0.0,1,0.0,7.0,10.85,9.7,55.15,41.9,22602,20
88,2015-04-01,2015,4,3,0.0,0.0,1,0.0,2.0,8.5,4.9375,59.854166666666664,31.708333333333332,23539,24
89,2015-04-02,2015,4,4,0.0,0.0,1,0.0,1.0,9.0625,7.125,66.35416666666667,14.8125,22682,24
90,2015-04-03,2015,4,5,1.0,0.0,0,0.0,7.0,9.395833333333334,8.583333333333334,88.08333333333333,7.916666666666667,11298,24
91,2015-04-04,2015,4,6,0.0,1.0,0,0.0,3.0,8.869565217391305,7.021739130434782,77.69565217391305,12.26086956521739,12864,23
92,2015-04-05,2015,4,0,0.0,1.0,0,0.0,3.0,8.791666666666666,8.270833333333334,71.125,7.020833333333333,19369,24
93,2015-04-06,2015,4,1,1.0,0.0,0,0.0,3.0,9.25,7.770833333333333,73.58333333333333,13.354166666666666,25439,24
94,2015-04-07,2015,4,2,0.0,0.0,1,0.0,1.0,11.083333333333334,10.916666666666666,68.0625,6.604166666666667,29441,24
95,2015-04-08,2015,4,3,0.0,0.0,1,0.0,1.0,11.75,11.375,73.95833333333333,11.020833333333334,30643,24
96,2015-04-09,2015,4,4,0.0,0.0,1,0.0,1.0,10.5,9.5625,79.3125,10.5625,31520,24
97,2015-04-10,2015,4,5,0.0,0.0,1,0.0,1.0,13.041666666666666,12.541666666666666,68.0,11.916666666666666,32052,24
98,2015-04-11,2015,4,6,0.0,1.0,0,0.0,1.0,11.625,11.125,58.916666666666664,21.6875,25113,24
99,2015-04-12,2015,4,0,0.0,1.0,0,0.0,1.0,11.791666666666666,10.916666666666666,58.645833333333336,20.208333333333332,29204,24
100,2015-04-13,2015,4,1,0.0,0.0,1,0.0,4.0,11.604166666666666,11.166666666666666,68.77083333333333,9.729166666666666,28048,24
101,2015-04-14,2015,4,2,0.0,0.0,1,0.0,1.0,15.645833333333334,14.895833333333334,60.770833333333336,17.166666666666668,34519,24
102,2015-04-15,2015,4,3,0.0,0.0,1,0.0,1.0,17.541666666666668,17.208333333333332,51.895833333333336,14.0625,37470,24
103,2015-04-16,2015,4,4,0.0,0.0,1,0.0,1.0,11.6875,10.895833333333334,66.95833333333333,19.625,30489,24
104,2015-04-17,2015,4,5,0.0,0.0,1,0.0,1.0,10.583333333333334,8.916666666666666,63.625,23.645833333333332,29796,24
105,2015-04-18,2015,4,6,0.0,1.0,0,0.0,2.0,9.645833333333334,8.145833333333334,63.875,22.583333333333332,29595,24
106,2015-04-19,2015,4,0,0.0,1.0,0,0.0,4.0,8.416666666666666,6.666666666666667,67.8125,11.604166666666666,19736,24
107,2015-04-20,2015,4,1,0.0,0.0,1,0.0,1.0,11.0625,10.4375,64.4375,13.854166666666666,32057,24
108,2015-04-21,2015,4,2,0.0,0.0,1,0.0,1.0,11.375,10.854166666666666,61.604166666666664,12.75,34908,24
109,2015-04-22,2015,4,3,0.0,0.0,1,0.0,1.0,10.395833333333334,9.479166666666666,72.47916666666667,16.854166666666668,32381,24
110,2015-04-23,2015,4,4,0.0,0.0,1,0.0,1.0,10.395833333333334,9.020833333333334,71.66666666666667,13.208333333333334,32773,24
111,2015-04-24,2015,4,5,0.0,0.0,1,0.0,1.0,13.020833333333334,12.6875,68.64583333333333,14.166666666666666,32102,24
112,2015-04-25,2015,4,6,0.0,1.0,0,0.0,7.0,14.145833333333334,14.145833333333334,75.14583333333333,18.395833333333332,25194,24
113,2015-04-26,2015,4,0,0.0,1.0,0,0.0,3.0,9.645833333333334,8.291666666666666,83.33333333333333,11.1875,19427,24
114,2015-04-27,2015,4,1,0.0,0.0,1,0.0,1.0,9.270833333333334,8.375,55.583333333333336,10.479166666666666,30489,24
115,2015-04-28,2015,4,2,0.0,0.0,1,0.0,1.0,9.708333333333334,7.875,53.479166666666664,23.041666666666668,31783,24
116,2015-04-29,2015,4,3,0.0,0.0,1,0.0,7.0,9.854166666666666,8.0,71.3125,18.645833333333332,26030,24
117,2015-04-30,2015,4,4,0.0,0.0,1,0.0,1.0,10.75,9.4375,57.75,18.291666666666668,31621,24
118,2015-05-01,2015,5,5,0.0,0.0,1,0.0,2.0,9.083333333333334,7.229166666666667,64.25,18.875,29579,24
