dteday,cnt,t1,t2,hum,wind_speed,weather_code,anomaly_score,top_cause,top_cause_delta
2015-03-31,22602,10.85,9.7,55.15,41.9,7.0,-0.08835158738478066,wind_speed,0.08832976662417602
2016-01-17,11762,2.958333333333333,0.75,80.3125,9.0625,26.0,-0.07544022944104012,weather_code,0.1131136478227891
2015-07-01,42641,27.375,27.4375,50.97916666666666,17.3125,1.0,-0.07301698082773633,t1,0.06488606628103155
2016-12-28,12428,2.1666666666666665,0.0208333333333333,97.22916666666669,7.395833333333333,1.0,-0.05140921386635444,hum,0.06588632027381991
2016-03-28,10216,8.875,5.645833333333333,72.70833333333333,34.625,7.0,-0.04644081319033233,wind_speed,0.06724802332318469
2016-12-30,11566,3.270833333333333,1.0625,98.6875,9.0,4.0,-0.04603875641203581,hum,0.05643831819301803
2015-01-04,9234,2.4791666666666665,0.6458333333333334,94.27083333333331,7.5,3.0,-0.04406650200099571,hum,0.03945414936462999
2016-07-20,44664,24.979166666666668,25.041666666666668,59.0,19.041666666666668,1.0,-0.043183349627258116,t1,0.05386002028501302
2016-08-24,40664,25.479166666666668,25.5625,60.10416666666666,6.8125,1.0,-0.04185128691402873,t1,0.06528782026685476
2015-01-31,10250,3.4166666666666665,-0.9166666666666666,77.91666666666667,20.125,7.0,-0.04080617006165521,weather_code,0.04558510480647415
2016-07-19,46021,24.64583333333333,24.729166666666668,62.60416666666666,14.458333333333334,1.0,-0.033513429688057705,t1,0.05413968967313909
2016-06-23,24852,19.9375,19.9375,89.95833333333333,10.604166666666666,7.0,-0.030588623269328985,weather_code,0.05856628369144801
2016-02-08,19497,8.833333333333334,4.388888888888889,63.16666666666666,41.388888888888886,3.0,-0.030034193482957217,wind_speed,0.10913049248121354
2015-07-09,72504,17.791666666666668,17.541666666666668,48.97916666666666,12.979166666666666,1.0,-0.02929422769943346,cnt,0.07607900903181586
2016-02-13,9869,4.25,0.6666666666666666,85.5625,18.4375,7.0,-0.026420411768503738,weather_code,0.03855912404568129
2016-03-27,8123,9.714285714285714,7.464285714285714,72.75,29.5,7.0,-0.025634196847376,weather_code,0.04209011353984127
2015-01-18,13199,3.395833333333333,1.9166666666666667,84.33333333333333,6.979166666666667,7.0,-0.024604901520036027,weather_code,0.056151305051530764
2016-09-03,15265,19.416666666666668,19.416666666666668,75.41666666666667,21.916666666666668,7.0,-0.023283978399003313,weather_code,0.05852393461595473
2017-01-01,6421,7.0,4.4375,88.4375,14.125,7.0,-0.021701319444883405,cnt,0.0416557049977645
2015-02-01,11305,3.7916666666666665,-0.8958333333333334,67.0,24.77083333333333,3.0,-0.02032319327975307,t2,0.03238791827074128
2015-08-31,9639,15.479166666666666,15.479166666666666,89.54166666666667,10.4375,7.0,-0.01771503538493202,cnt,0.047897931929790305
2015-03-29,8592,11.304347826086955,10.08695652173913,77.44565217391305,30.77173913043478,7.0,-0.017370003553352387,wind_speed,0.03077971226038989
2016-09-13,43573,24.791666666666668,24.625,62.16666666666666,13.520833333333334,1.0,-0.01706926682092902,t1,0.05354137780492396
2016-07-27,33339,20.45833333333333,20.45833333333333,71.83333333333333,16.958333333333332,7.0,-0.01186311465747858,weather_code,0.09999349792665485
2015-05-06,24438,12.5,12.25,70.54166666666667,32.166666666666664,7.0,-0.010345915176392051,weather_code,0.07556020921557921
2015-06-30,43326,22.375,22.0,50.35416666666666,14.895833333333334,1.0,-0.007716645354914897,hum,0.042721498745330155
2016-07-18,43195,23.5,23.375,58.520833333333336,8.3125,1.0,-0.006270321367084497,t1,0.03356896356809591
2016-04-27,28157,6.5625,4.0625,63.270833333333336,13.75,7.0,-0.00619401657998897,weather_code,0.08956621555928479
2015-12-22,17458,14.1875,14.1875,80.66666666666667,31.39583333333333,7.0,-0.004875096455240535,wind_speed,0.06351339073099493
2016-01-12,22799,6.1875,1.8333333333333333,77.95833333333333,27.8125,7.0,-0.004158562249725883,weather_code,0.05827549810146099
2016-01-02,7195,10.5,9.395833333333334,87.02083333333333,21.604166666666668,7.0,-0.003404958620202736,cnt,0.03481233256585481
2015-02-16,16381,6.041666666666667,4.0625,89.70833333333333,9.75,7.0,-0.0032530772386976103,weather_code,0.044957134638682006
2015-12-30,12301,12.583333333333334,12.541666666666666,69.375,25.08333333333333,7.0,-0.003121672982400514,weather_code,0.06363875679208608
2016-09-10,17080,19.166666666666668,19.166666666666668,80.5,16.333333333333332,7.0,-0.0030614136916993218,weather_code,0.05662737335918566
2016-06-08,34196,18.479166666666668,18.479166666666668,73.29166666666667,7.375,7.0,-0.0019600811588800227,weather_code,0.10265110369131969
2015-11-21,12751,4.375,-0.375,68.02083333333333,26.25,1.0,-0.0008169553523038608,wind_speed,0.028423552524134976
2016-02-27,14745,4.875,1.4583333333333333,62.97916666666666,17.770833333333332,4.0,-0.00025480724462734194,weather_code,0.038815182128149606
