dteday,cnt,temp,atemp,hum,windspeed,weathersit,anomaly_score,top_cause,top_cause_delta
2011-03-10,623,0.389091,0.385668,0.0,0.261877,3,-0.10306453154296358,hum,0.06534921608369049
2011-01-26,506,0.2175,0.2036,0.8625,0.29385,3,-0.08973346145452621,weathersit,0.06202622571421956
2011-10-29,627,0.254167,0.227913,0.8825,0.351371,3,-0.08738327818868064,weathersit,0.05720109228067649
2012-12-26,441,0.243333,0.220333,0.823333,0.316546,3,-0.08419386535296258,weathersit,0.06136412005955283
2011-02-19,1635,0.399167,0.391404,0.187917,0.507463,1,-0.08185195364416342,windspeed,0.07469312152644114
2012-10-29,22,0.44,0.4394,0.88,0.3582,3,-0.07594776617498367,weathersit,0.04591840275346737
2011-12-07,705,0.41,0.400246,0.970417,0.266175,3,-0.05676267309611327,weathersit,0.04714743088887419
2011-04-16,795,0.430833,0.425492,0.888333,0.340808,3,-0.05156961852238329,weathersit,0.042364024586851845
2011-09-07,1996,0.599167,0.544229,0.917083,0.0970208,3,-0.050949017296933574,weathersit,0.06646207963106654
2011-01-22,981,0.0591304,0.0790696,0.4,0.17197,1,-0.049231118437489396,atemp,0.039646429300913444
2012-02-11,2169,0.224167,0.210867,0.73125,0.289796,3,-0.048819967106233264,weathersit,0.08482133155732474
2011-09-08,1842,0.633913,0.555361,0.939565,0.192748,3,-0.04807078458407499,weathersit,0.06793003039367729
2012-04-22,1027,0.396667,0.389504,0.835417,0.344546,3,-0.04654982493591797,weathersit,0.047359499544333605
2011-11-22,1607,0.416667,0.421696,0.9625,0.118792,3,-0.04588570282513971,weathersit,0.06550340077029981
2012-02-12,1529,0.1275,0.101658,0.464583,0.409212,1,-0.04528015201745872,windspeed,0.05891023417364616
2011-09-06,2710,0.54,0.5152,0.886957,0.343943,3,-0.03964698186461779,weathersit,0.05378766880686703
2011-01-09,822,0.138333,0.116175,0.434167,0.36195,1,-0.038304372085328886,windspeed,0.02396266746724851
2011-03-31,1685,0.268333,0.257575,0.918333,0.217646,3,-0.037330879343958956,weathersit,0.08352460885922874
2011-08-27,1115,0.68,0.635556,0.85,0.375617,2,-0.03624945848580774,windspeed,0.06251391761568503
2011-11-16,1817,0.456667,0.451988,0.93,0.136829,3,-0.03157748482485412,weathersit,0.06353205373683102
2012-01-04,2368,0.1075,0.119337,0.414583,0.1847,2,-0.031476684217003226,atemp,0.03951547500517283
2011-01-23,986,0.0965217,0.0988391,0.436522,0.2466,1,-0.0314752537247629,atemp,0.035716167797877896
2011-10-12,2416,0.543333,0.517717,0.90625,0.24815,3,-0.024226892228613295,weathersit,0.06126311746544
2011-12-06,2594,0.4625,0.4564,0.949583,0.232583,3,-0.0191876825888605,weathersit,0.0607723678570794
2011-10-19,2424,0.541739,0.513848,0.895217,0.243339,3,-0.018331337415978366,weathersit,0.05885707369426996
2011-03-06,605,0.376522,0.366252,0.948261,0.343287,2,-0.0162925805126507,windspeed,0.034139705849446256
2011-07-21,3784,0.815,0.826371,0.69125,0.222021,2,-0.013778553116312153,atemp,0.07977965516769153
2012-03-09,4569,0.410833,0.397083,0.407083,0.4148,2,-0.013589625908881797,windspeed,0.06911682970829203
2011-11-21,2765,0.4475,0.445062,0.91,0.138054,3,-0.013438670465536817,weathersit,0.07155623774623915
2012-10-02,4639,0.590833,0.542333,0.871667,0.104475,3,-0.013247194845214194,weathersit,0.09660367050077484
2012-01-03,2236,0.15,0.126275,0.44125,0.365671,1,-0.011117165777016602,windspeed,0.032889613581381316
2011-02-14,1913,0.415,0.39835,0.375833,0.417908,1,-0.010080459795115959,windspeed,0.06444396756389659
2011-07-23,3285,0.849167,0.804287,0.5,0.131221,1,-0.008024523166536901,atemp,0.06027266863343961
2011-01-08,959,0.165,0.162254,0.535833,0.266804,2,-0.007816719028722385,weathersit,0.025392345608163613
2012-07-21,4459,0.595833,0.549912,0.865417,0.2133,3,-0.0032253151984806827,weathersit,0.08992597333884306
2011-01-27,431,0.195,0.2197,0.6875,0.113837,1,-0.0010792374462654797,cnt,0.04282874265060377
2011-01-24,1416,0.0973913,0.11793,0.491739,0.15833,1,-8.665689626996542e-05,atemp,0.03334384809020008
